title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,brand,special,slug,lang,pending,updated_on,logo_name,categories,order,update_id,area,district,county,meetings
FL Post 0378,,2712 Gulf Breeze Pkwy,Gulf Breeze,FL,32563,United States,30.38039829,-87.11141817,850-565-4356,,alpost378gb@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0378-gulf-breeze,,,,Default,,0,48,Western Area,District 1,Santa Rosa County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0375,,12507 Hwy 77,Southport,FL,32409,United States,30.37744245,-85.68049395,850-333-2851,,americanlegionpost375@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0375-southport,,,,Default,,0,49,Western Area,District 1,Bay County,"Meetings: Second Tuesday, 7:00 PM"
FL Post 0374,,2540 South Bayshore Drive,Coconut Grove,FL,33133,United States,25.7319525,-80.2316039,203-559-7356,,krobertson0773@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0374-coconut-grove,,,,Default,,0,50,Southern Area,District 14,Miami-Dade County,"Meetings: First Thursday, 7:00 PM"
FL Post 0373,,423 McIntosh Ave,Orange Park,FL,32073,United States,30.167802,-81.703382,904-272-1619,,mr.bobbrewster@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0373-orange-park,,,,Default,,0,51,Northern Area,District 5,Clay County,"Meetings: Fourth Tuesday, 7:00 PM (Excluding December)"
FL Post 0372,,10415 San Jose blvd,Jacksonville,FL,32223,United States,30.1888243,-81.6258142,904-297-8344,,adjutant@alpost372fl.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0372-jacksonville,,,,Default,,0,52,Northern Area,District 5,Duval County,"Legion – Second Thursday, 7:00 PM Auxiliary – Fourth Thursday, 7:00 PM Sons – Second Thursday, 6:15 PM Riders – Third Sunday, 10:00 AM"
FL Post 0371,,354 10th St,Lake Park,FL,33403,United States,26.79592037,-80.07168327,561-842-9110,,al371pbg@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0371-lake-park,,,,Default,,0,53,Southern Area,District 11,Palm Beach County,"Meetings: Fourth Saturday, 12:00 PM"
FL Post 0367,,1500 Golden Lakes Blvd,Royal Palm Beach,FL,33411,United States,26.6994427,-80.1659809,561-290-9980,,guamwarrior60@outlook.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0367-royal-palm-beach,,,,Default,,0,54,Southern Area,District 11,Palm Beach County,"Meetings: First Thursday, 7:00 PM"
FL Post 0366,,931 Barefoot Blvd Ste 1,Barefoot Bay,FL,32976,United States,27.88693716,-80.52165565,772-202-4926,,alpost366@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0366-barefoot-bay,,,,Default,,0,55,Eastern Area,District 12,Brevard County,"Meetings: Third Tuesday, 1:00 PM"
FL Post 0365,,10650 W Oakland Park Blvd,Sunrise,FL,33351,United States,26.16883641,-80.29439344,954-257-6763,,commander@sunrisepost365.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0365-sunrise,,,,Default,,0,56,Southern Area,District 9,Broward County,"Meetings: Fourth Tuesday, 7:00 PM"
FL Post 0361,,2648 S Ridgewood Ave,South Daytona,FL,32119-3538,United States,29.1610949,-80.9972996,386-760-3887,,americanlegion361@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0361-south-daytona,,,,Default,,0,57,Northern Area,District 17,Volusia County,"Meetings: First Tuesday, 6:00 PM"
FL Post 0359,,7260 S Us Highway 1,Titusville,FL,32780,United States,28.504719,-80.784179,321-268-1632,,pamericanlegion1@cfl.rr.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0359-titusville,,,,Default,,0,58,Eastern Area,District 12,Brevard County,"Meetings: Third Wednesday, 6:00 PM"
FL Post 0358,,4350 Oleander Ave,Ft. Pierce,FL,34982,United States,27.382955,-80.333957,772-595-0656,,americanlegionflp358@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0358-ft-pierce,,,,Default,,0,59,Eastern Area,District 12,St. Lucie County,"Meetings: Second Tuesday, 6:00 PM"
FL Post 0357,,2031 Crestridge Dr,Clermont,FL,34711,United States,28.5576481,-81.7175315,352-874-6591,,floridapost357@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0357-clermont,,,,Default,,0,60,Eastern Area,District 6,Lake County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0356,,400 Aberdeen Pkwy,Panama City,FL,32405,United States,30.22937289,-85.62367761,850-271-3558,,adjutant@alp356.comcastbiz.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0356-panama-city,,,,Default,,0,61,Western Area,District 1,Bay County,"Meetings: First Saturday, 10:00 AM"
FL Post 0354,,10411 SW 110TH St.,Dunnellon,FL,34432,United States,29.06291476,-82.29226431,,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0354-dunnellon,,,,Default,,0,62,Northern Area,District 4,Marion County,"Meetings: Third Wednesday, 3:00 PM"
FL Post 0351,,4800 Palm Beach Blvd,Ft. Myers Shores,FL,33905,United States,26.676718,-81.811481,239-693-0351,,alpesm351@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0351-ft-myers-shores,,,,Default,,0,63,Southwestern Area,District 13,Lee County,"Meetings: Third Saturday, 10:30 AM"
FL Post 0348,,105 Lincoln Ave,Cape Canaveral,FL,32920,United States,28.38048708,-80.60537531,321-799-1060,,pamericanlegion2@cfl.rr.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0348-cape-canaveral,,,,Default,,0,64,Eastern Area,District 12,Brevard County,"Meetings: Third Monday, 6:00 PM"
FL Post 0347,,699 W Lady Lake Blvd,Lady Lake,FL,32159-4207,United States,28.9146016,-81.9361133,352-750-2099,,alpost347@comcast.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0347-lady-lake,,,,Default,,0,65,Eastern Area,District 6,Lake County,"Meetings: Legion – Second Wednesday, 6:30 PM | Auxiliary – First Wednesday, 6:00 PM | SAL – Third Wednesday, 6:00 PM | ALR – Fourth Wednesday, 6:30 PM (All meetings are preceded by a “meet & greet”)"
FL Post 0346,,11350 SW 53rd Terrace,Miami,FL,33165,United States,25.71714521,-80.37819936,786-523-2994,,aml.post346@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0346-miami,,,,Default,,0,66,Southern Area,District 14,Miami-Dade County,"Meetings: First Tuesday, 8:00 PM"
FL Post 0344,,400 South Sykes Creek Parkway,Merritt Island,FL,32952,United States,28.3529658,-80.68300311,321-453-1776,,alflpost344@outlook.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0344-merritt-island,,,,Default,,0,67,Eastern Area,District 12,Brevard County,"Meetings: Last Thursday, 6:00 PM"
FL Post 0340,,8890 Ashland Ave,Pensacola,FL,32534,United States,30.53104057,-87.29639027,850-477-8094,,al340@al340.gccoxmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0340-pensacola,,,,Default,,0,68,Western Area,District 1,Escambia County,"Meetings: E-Board - First Tuesday, 7:00 PM | General - Third Tuesday, 7:00 PM"
FL Post 0339,,70103 Nalcrest Rd,Nalcrest,FL,33856,United States,27.855525,-81.429924,863-605-9638,,geldsprechens@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0339-nalcrest,,,,Default,,0,69,Central Area,District 7,Polk County,"Meetings: Third Tuesday, 7:00 PM (October - April)"
FL Post 0336,,5770 Bayshore Rd,North Fort Myers,FL,33917-3009,United States,26.689844,-81.86198,239-543-1919,,alpost336@hotmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0336-north-fort-myers,,,,Default,,0,70,Southwestern Area,District 13,Lee County,"Meetings: Third Monday, 7:00 PM"
FL Post 0335,,11421 Osceola Drive,New Port Richey,FL,34654,United States,28.32347727,-82.65432836,727-868-3445,,alhudsonpost335@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0335-new-port-richey,,,,Default,,0,71,Central Area,District 16,Pinellas County,"Meetings: E-Board - Last Thursday, 7:00 PM | General - First Thursday, 7:00 PM"
FL Post 0334,,929 E 139th Ave,Tampa,FL,33613-3416,United States,28.07369253,-82.4508544,813-971-3699,,pburchett44@hotmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0334-tampa,,,,Default,,0,72,Central Area,District 15,Hillsborough County,"Meetings: Second Tuesday, Every Other Month, 7:30 PM"
FL Post 0333,,2 Seagate Blvd,Key Largo,FL,33037,United States,25.088349,-80.441601,305-451-0307,,americanlegion333@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0333-key-largo,,,,Default,,0,73,Southern Area,District 14,Monroe County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0332,,Kennedy Space Center,Kennedy Space Center,FL,32899,United States,28.57287,-80.64898,,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0332-kennedy-space-center,,,,Default,,0,74,Eastern Area,District 12,Brevard County,"Meetings: Fourth Tuesday, 6:00 PM"
FL Post 0331,,4325 Fairmont St,Orlando,FL,32808,United States,28.54925061,-81.43292552,407-294-7228,,doriemiller0331@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0331-orlando,,,,Default,,0,75,Eastern Area,District 6,Orange County,"Meetings: Third Sunday, 6:30 PM"
FL Post 0330,,212 Forest Dr,Leesburg,FL,34788,United States,28.87261869,-81.77378595,352-357-8865,,mflpost330@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0330-leesburg,,,,Default,,0,76,Eastern Area,District 6,Lake County,"Meetings: Third Thursday, 7:00 PM"
FL Post 0328,,28501 E Colonial Dr,Christmas,FL,32709,United States,28.543849,-80.938726,321-217-6699,,amagiangel@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0328-christmas,,,,Default,,0,77,Eastern Area,District 6,Orange County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0325,,3412 US Highway 301 N Unit 103,Ellenton,FL,34222,United States,27.523091,-82.529925,941-981-3819,,alpost325@outlook.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0325-ellenton,,,,Default,,0,78,Southwestern Area,District 8,Manatee County,"Meetings: Third Wednesday, 7:00 PM"
FL Post 0323,,1124 Ashlar Ave,Lehigh Acres,FL,33936,United States,26.60489272,-81.64642465,239-369-3178,,amlegion323@hotmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0323-lehigh-acres,,,,Default,,0,79,Southwestern Area,District 13,Lee County,"Meetings: E-Board - Second Monday, 7:00 PM | General - Third Monday, 7:00 PM"
FL Post 0322,,,Lake City,FL,32024,United States,30.1894252,-82.6394803,904-752-9788,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0322-lake-city,,,,Default,,0,80,Northern Area,District 3,Columbia County,"Meetings First and Third, Thursday, 7:00 PM"
FL Post 0321,,9081 SW 51st St,Cooper City,FL,33328,United States,26.0569783,-80.27274123,954-434-0965,,coopercity321@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0321-cooper-city,,,,Default,,0,81,Southern Area,District 9,Broward County,"Meetings: Third Tuesday, 7:00 PM"
FL Post 0318,,1000 Savanna Club Blvd,Port St. Lucie,FL,34952,United States,27.311875,-80.310794,772-878-0655,,318psllegion@att.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0318-port-st-lucie,,,,Default,,0,82,Eastern Area,District 12,St. Lucie County,"Meetings: Second Saturday, 10:30 AM"
FL Post 0316,,1127 Atlantic Blvd,Atlantic Beach,FL,32233,United States,30.3249833,-81.4213862,904-249-0202,,alpost316@bellsouth.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0316-atlantic-beach,,,,Default,,0,83,Northern Area,District 5,Duval County,"Meetings: Second Monday, 8:00 PM"
FL Post 0312,,1610 67th Ave E,Sarasota,FL,34243,United States,27.42187182,-82.54581486,941-758-6616,,ccobb312@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0312-sarasota,,,,Default,,0,84,Southwestern Area,District 8,Manatee County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0310,,225 SE 1st Ave,Hallandale,FL,33009,United States,25.98280641,-80.14760486,954-454-6444,,post310al@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0310-hallandale,,,,Default,,0,85,Southern Area,District 9,Broward County,"Meetings: First Monday, 7:00 PM"
FL Post 0309,,2419 Bayshore Rd,Palmetto,FL,34221,United States,27.53529743,-82.56663127,941-722-8689,,americanlegionpost309@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0309-palmetto,,,,Default,,0,86,Southwestern Area,District 8,Manatee County,"Meetings: E-Board - Third Monday, 6:00 PM | General - First Monday, 6:00 PM"
FL Post 0305,,6999 Gulf Blvd,St. Pete Beach,FL,33706,United States,27.73887,-82.749246,727-367-1596,,longkeypost305@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0305-st-pete-beach,,,,Default,,0,87,Central Area,District 16,Pinellas County,"Meetings: First Monday, 5:30 PM"
FL Post 0304,,41 NE 1st Ct,Dania Beach,FL,33004,United States,26.0531713,-80.14223064,786-650-6913,,admin@adminamericanlegionpost304.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0304-dania-beach,,,,Default,,0,88,Southern Area,District 9,Broward County,"Meetings: Legion/E-Board: Second Saturday, 9:00 AM Sons: First Saturday, 3:00 PM Auxiliary: First Monday, 6:00 PM"
FL Post 0303,,27678 Imperial Shores Blvd,Bonita Springs,FL,34134-3981,United States,26.332398,-81.827088,239-992-2422,,johnfmurphy303@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0303-bonita-springs,,,,Default,,0,89,Southwestern Area,District 13,Lee County,"Meetings: Second Tuesday, 7:00 PM"
FL Post 0302,,2562 Park Ave,Alford,FL,32420,United States,30.6970201,-85.38895166,850-699-6722,,tglyo3@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0302-alford,,,,Default,,0,90,Western Area,District 2,Jackson County,"Meetings: Second Thursday, 6:30 PM"
FL Post 0296,,311 Main St,Destin,FL,32541-1916,United States,30.3974011,-86.48374967,850-837-3818,,americanlegionpost296destinfl@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0296-destin,,,,Default,,0,91,Western Area,District 1,Okaloosa County,"Meetings: Second Thursday, 6:30 PM"
FL Post 0293,,145 S County Road 315,Interlachen,FL,32148,United States,29.621744,-81.88653,386-684-9339,,ALFLPOST293@GMAIL.COM,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0293-interlachen,,,,Default,,0,92,Northern Area,District 17,Putnam County,"Meetings: Third Monday, 5:30 PM"
FL Post 0291,,220 11th St. SE,Steinhatchee,FL,32359,United States,29.677296,-83.383239,352-498-8177,,btrell1@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0291-steinhatchee,,,,Default,,0,93,Northern Area,District 3,Taylor County,"Meetings: Second Thursday, 7:00 PM"
FL Post 0287,,191 SW 1st Ter,Deerfield Beach,FL,33441,United States,26.31632587,-80.10391007,954-482-0061,,alpost287@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0287-deerfield-beach,,,,Default,,0,94,Southern Area,District 9,Broward County,"Meetings: Second Wednesday, 7:00 PM"
FL Post 0286,,529 Fairlane Ave,Orlando,FL,32809,United States,28.47191704,-81.37020561,407-859-1460,,pinecastle286@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0286-orlando,,,,Default,,0,95,Eastern Area,District 6,Orange County,"Meetings: Third Monday, 7:00 PM"
FL Post 0285,,4497 US Highway 1,Edgewater,FL,32141,United States,28.908975,-80.865677,386-210-4926,,edgewaterlegionpost285@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0285-edgewater,,,,Default,,0,96,Northern Area,District 17,Volusia County,"Meetings: Second Wednesday, 6:30 PM"
FL Post 0284,,5515 SE 109th St,Belleview,FL,34420-3346,United States,29.06376043,-82.05688929,352-245-5832,,aklegionpost284@outlook.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0284-belleview,,,,Default,,0,97,Northern Area,District 4,Marion County,"Meetings: First Monday, 6:00 PM (Second on Holidays)"
FL Post 0283,,9459 Fort Caroline Rd,Jacksonville,FL,32225,United States,30.35451235,-81.54419404,904-641-8111,,newsletterpost283@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0283-jacksonville,,,,Default,,0,98,Northern Area,District 4,Citrus County,"Meetings: Second Monday, 7:00 PM"
FL Post 0277,,141 NW 20th St Ste F3,Boca Raton,FL,33431,United States,26.36795681,-80.086567,561-395-1090,,commanderlegion277@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0277-boca-raton,,,,Default,,0,99,Southern Area,District 11,Palm Beach County,"Meetings: Second Tuesday, 7:00 PM"
FL Post 0275,,360 Wilson St,Dunedin,FL,34698,United States,28.02350265,-82.78911453,727-733-8153,,postcmdr1951@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0275-dunedin,,,,Default,,0,100,Central Area,District 16,Pinellas County,"Meetings: Second Wednesday, 7:30 PM"
FL Post 0274,,899 Buttonwood Dr,Ft. Myers Beach,FL,33931,United States,26.465223,-81.951409,239-463-6591,,fllegionpost274@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0274-ft-myers-beach,,,,Default,,0,101,Southwestern Area,District 13,Lee County,"Meetings: E-Board - First Monday, 12:00 PM | General - First Monday, 1:00 PM"
FL Post 0273,,600 American Legion Dr,Madeira Beach,FL,33708,United States,27.809739,-82.794765,727-398-5680,,adjutant273@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0273-madeira-beach,,,,Default,,0,102,Central Area,District 16,Pinellas County,"Meetings: First Wednesday, 3:00 PM"
FL Post 0272,,19969 NE Burns Ave,Blountstown,FL,32424,United States,30.458197,-85.056283,850-237-2740,,rawedner@fairpoint.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0272-blountstown,,,,Default,,0,103,Western Area,District 2,Calhoun County,"Meetings: First Sunday, 2:00 PM"
